------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Work ctr|Type|Group   |GrC|Material    |OpAc|Valid From|Valid to  |Change No.  |Prod.resources/tools  |Descr. of the production resource/tool  |   Quantity|Un.|Item|Cat|Grp1|Grp2|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|08975   |N   |50375567|1  |DMU210287   |0090|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   200.000 |PC |   1|M  |    |    |
|07001   |N   |50375567|1  |DMU210287   |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   200.000 |PC |   1|M  |    |    |
|07001   |N   |50375567|1  |DMU210287   |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5004041         |DIE,STD BRAKE - 90 Deg. Bottoming       |     1.000 |PC | 100|E  |    |    |
|07001   |N   |50375567|1  |DMU210287   |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5004203         |PCH,STD BRAKE 1/4RADIUS 24LONG          |     1.000 |PC | 100|E  |    |    |
|07001   |N   |50375567|1  |DMU210287   |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5004412         |LOCATOR,                                |     1.000 |PC | 100|E  |    |    |
|07001   |N   |50375567|1  |DMU210287   |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5003877         |BOLSTER, M/C 06713 (CNC BRAKE) 4.0W     |     1.000 |PC | 200|E  |    |    |
|07001   |N   |50375567|1  |DMU210287   |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5003879         |BOLSTER, M/C 07001 (CNC BRAKE) 4.0W     |     1.000 |PC | 200|E  |    |    |
|07001   |N   |50375567|1  |DMU210287   |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15534              |. PROTRACTOR,DIGITL                     |     1.000 |PC |3000|M  |    |    |
|07001   |N   |50375567|1  |DMU210287   |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15535              |. 18"CALIPER,DIGITL                     |     1.000 |PC |3000|M  |    |    |
|07001   |N   |50375567|1  |DMU210287   |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15536              |. 6" CALIPER,DIGITL W/SPC OUTPUT        |     1.000 |PC |3000|M  |    |    |
|07001   |N   |50375567|1  |DMU210287   |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01003034 ZMD 000 00 |MDS\DMU210287\0100                      |     1.000 |EA | 500|D  |    |    |
|07001   |N   |50375567|1  |DMU210287   |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01012976 ZOS 000 00 |OMS-DMU210287 SET-UP                    |     1.000 |PC | 510|D  |    |    |
|07001   |N   |50375567|1  |DMU210287   |0100|02/16/2018|12/31/9999|AL9643MXPROD|RCG34                 |RETURNABLE CONTAINER 30X32X34           |   200.000 |PC |   7|M  |    |    |
|08632   |N   |50375569|1  |DMU210347   |0090|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   150.000 |PC |   1|M  |    |    |
|07001   |N   |50375569|1  |DMU210347   |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   150.000 |PC |   1|M  |    |    |
|07001   |N   |50375569|1  |DMU210347   |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5003877         |BOLSTER, M/C 06713 (CNC BRAKE) 4.0W     |     1.000 |PC | 200|E  |    |    |
|07001   |N   |50375569|1  |DMU210347   |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5003879         |BOLSTER, M/C 07001 (CNC BRAKE) 4.0W     |     1.000 |PC | 200|E  |    |    |
|07001   |N   |50375569|1  |DMU210347   |0100|11/03/2014|12/31/9999|AI3735MXPROD|MXGT-3002119          |CHECKING FIXTURE                        |     1.000 |PC |3000|E  |    |    |
|07001   |N   |50375569|1  |DMU210347   |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15534              |. PROTRACTOR,DIGITL                     |     1.000 |PC |3000|M  |    |    |
|07001   |N   |50375569|1  |DMU210347   |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15535              |. 18"CALIPER,DIGITL                     |     1.000 |PC |3000|M  |    |    |
|07001   |N   |50375569|1  |DMU210347   |0100|11/03/2014|12/31/9999|AI3735MXPROD|IMD15536              |. 6" CALIPER,DIGITL W/SPC OUTPUT        |     1.000 |PC |3000|M  |    |    |
|07001   |N   |50375569|1  |DMU210347   |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01003044 ZMD 000 00 |MDS\DMU210347\0100                      |     1.000 |EA | 500|D  |    |    |
|07001   |N   |50375569|1  |DMU210347   |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5004029         |DIE,STD BRAKEV  - 18.75 LG.             |     1.000 |PC | 100|E  |    |    |
|07001   |N   |50375569|1  |DMU210347   |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5010438         |.25R x 10.5 Lg - 88.1Deg. Gooseneck Pch.|     1.000 |PC | 100|E  |    |    |
|07001   |N   |50375569|1  |DMU210347   |0100|11/03/2014|12/31/9999|AI3735MXPROD|MX01020178 ZOS 000 00 |OMS- Set up                             |     1.000 |PC | 510|D  |    |    |
|07001   |N   |50375569|1  |DMU210347   |0100|01/19/2021|12/31/9999|AS1726MXPROD|RCB05                 |12" x 15" x 5" PLASTIC TOTE             |    20.000 |PC |   7|M  |    |    |
|07001   |N   |50375580|1  |ET17242     |0400|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            | 1,000.000 |PC |   1|M  |    |    |
|07001   |N   |50375580|1  |ET17242     |0400|11/03/2014|12/31/9999|AI3735MXPROD|IMD15126              |CNTR, HOPPER                            |   400.000 |PC |   1|M  |    |    |
|07001   |N   |50375580|1  |ET17242     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5004519         |SPEC BRAKE DIE                          |     1.000 |PC | 100|E  |    |    |
|07001   |N   |50375580|1  |ET17242     |0400|11/03/2014|12/31/9999|AI3735MXPROD|MX01T-5004543         |SPEC BRAKE PCH                          |     1.000 |PC | 100|E  |    |    |
